,name,rating,brand,perfumer,gender,types,scent1,scent2,scent3,scent4,scent5
86,"摩勒沃兹 血橙和罗勒古龙水
Maurer & Wirtz 4711 Acqua Colonia Blood Orange & Basil, 2010",8.6 分 798 人评价,摩勒沃兹,None,中性香,柑橘馥奇香调,血橙,罗勒,柠檬,None,None
87,"爱马仕 大地清新版
Hermes Terre d'Hermes Eau Tres Fraiche, 2014",8.7 分 619 人评价,爱马仕,None,男香,木质馥奇香调,柑橘,橙子,水,木质香,雪松
88,"纪梵希 小熊宝宝
Givenchy Ptisenbon, 1988",8.5 分 1191 人评价,纪梵希,None,女香,绿叶花香调,柠檬,忍冬,茉莉,铃兰,橙子
89,"古驰 新同名男士
Gucci by Gucci Pour Homme, 2008",8.9 分 404 人评价,古驰,Aurelien Guichard,男香,木质甘苔调,烟草,柏树,香柠檬,紫罗兰,广藿香
90,"爱马仕 蓝色橘采星光
Hermes Eau des Merveilles Bleue, 2016",8.6 分 766 人评价,爱马仕,Christine Nagel,女香,水生馥奇香调,海水,木质香,广藿香,香柠檬,橙子
91,"纳茜素 玫瑰麝香
Narciso Rodriguez Fleur Musc for Her, 2017",8.9 分 425 人评价,纳茜素,Calice Becker,女香,木质花香调,玫瑰,牡丹,麝香,粉红胡椒,广藿香
92,"安娜苏 许愿精灵
Anna Sui Secret Wish, 2005",8.4 分 1759 人评价,安娜苏,Michel Almairac,女香,花香果香调,柠檬,菠萝,香瓜,桃子,黑加仑
93,"娇兰 香根草（伟之华）
Guerlain Vetiver, 2000",9 分 376 人评价,娇兰,Jean-Paul Guerlain,男香,木质馥奇香调,香根草,柠檬,烟草,香柠檬,肉豆蔻
94,"祖玛珑 黑莓与月桂叶
Jo Malone Blackberry & Bay, 2012",8.5 分 877 人评价,祖玛珑,Fabrice Pellegrin,女香,花香果香调,黑莓,月桂叶,葡萄柚,雪松,香根草
95,"宝格丽 晶莹纯香（白晶）
Bvlgari Omnia Crystalline, 2005",8.5 分 778 人评价,宝格丽,Alberto Morillas,女香,水生花香调,莲花,麝香,茶叶,竹子,梨
96,"宝格丽 黑茶
Bvlgari Black, 1998",8.6 分 670 人评价,宝格丽,Annick Menardo,中性香,木质东方调,皮革,香草,茶叶,檀香木,琥珀
97,"博柏利 伦敦女士（新伦敦）
Burberry London, 2006",8.6 分 655 人评价,博柏利,Jean-Marc Chaillan,女香,花香调,茉莉,忍冬,蜜橘,提亚蕾花,牡丹
98,"迪奥 茉莉花
Diorissimo, 1956",8.8 分 430 人评价,迪奥,Edmond Roudnitska,女香,花香调,铃兰,紫丁香,茉莉,绿叶,百合
99,"巴黎世家 至真
Balenciaga B. Balenciaga, 2014",9.2 分 267 人评价,巴黎世家,Domitille Bertier,女香,木质馥奇香调,紫罗兰叶,豌豆,雪松,铃兰,鸢尾根
100,"缪缪 同名
Miu Miu, 2015",8.4 分 1202 人评价,缪缪,Daniela (Roche) Andrier,女香,花香调,铃兰,绿叶,茉莉,亚基戛纳木,玫瑰
101,"迪奥 蓝色魅惑
Dior Addict, 2002",9 分 339 人评价,迪奥,Thierry Wasser,女香,东方花香调,香草,零陵香豆,檀香木,黑莓,苦橙叶
102,"娇兰 蓝调时光
Guerlain L'Heure Bleue, 1912",9.1 分 302 人评价,娇兰,Jacques Guerlain,女香,东方花香调,鸢尾花,天芥菜,康乃馨,紫罗兰,香草
103,"娇兰 花草水语-柑橘罗勒
Guerlain Aqua Allegoria Mandarine Basilic, 2007",8.7 分 527 人评价,娇兰,Marie Salamagne,女香,柑橘馥奇香调,克里曼丁红橘,橘子,罗勒,苦橙,橙花
104,"香奈儿 绅士
Chanel Pour Monsieur, 1955",9.3 分 259 人评价,香奈儿,Henri Robert,男香,甘苔调,柠檬,橡木苔,生姜,香根草,柠檬马鞭草
105,"宝格丽 夜茉莉
Bvlgari Jasmin Noir, 2008",8.6 分 544 人评价,宝格丽,Sophie Labbe,女香,东方花香调,茉莉,杏仁,栀子花,甘草,零陵香豆
106,"迪奥 桀骜新版
Dior Homme, 2011",9 分 338 人评价,迪奥,Francois Demachy,男香,木质花香调,鸢尾花,可可果,皮革,薰衣草,琥珀
107,"高田贤三 水之恋
Kenzo L'Eau par Kenzo, 1996",8.4 分 1030 人评价,高田贤三,Olivier Cresp,女香,水生花香调,睡莲,芦苇,薄荷,紫丁香,胡椒
108,"香奈儿 邂逅（黄邂逅）
Chanel Chance Eau de Toilette, 2003",8.5 分 746 人评价,香奈儿,Jacques Polge,女香,花香甘苔调,柠檬,广藿香,粉红胡椒,菠萝,茉莉
109,"宝格丽 大吉岭夜色（夜幽）
Bvlgari Pour Homme Soir, 2006",8.4 分 802 人评价,宝格丽,None,男香,木质花香调,茶叶,纸莎草,香柠檬,琥珀,水
110,"摩勒沃兹 4711原始古龙水
Maurer & Wirtz 4711 Original Eau de Cologne, 1792",8.4 分 771 人评价,摩勒沃兹,Wilhelm Muelhens,中性香,柑橘馥奇香调,柠檬,香柠檬,橙子,罗勒,茉莉
111,"香奈儿 蔚蓝淡香精
Chanel Bleu de Chanel Eau de Parfum, 2014",8.8 分 371 人评价,香奈儿,Jacques Polge,男香,木质馥奇香调,柠檬,葡萄柚,焚香,琥珀,香根草
112,"祖玛珑 红玫瑰
Jo Malone Red Roses, 2001",8.3 分 1172 人评价,祖玛珑,Lucien Piquet,女香,绿叶花香调,玫瑰,柠檬,蜂蜡,薄荷,紫罗兰叶
113,"博柏利 红粉恋歌
Burberry Brit Sheer, 2007",8.2 分 1561 人评价,博柏利,Emilie (Bevierre) Coppermann,女香,花香果香调,荔枝,日本柚子,牡丹,橘子,菠萝
114,"祖玛珑 杏桃花与蜂蜜
Jo Malone Nectarine Blossom & Honey, 2005",8.2 分 1414 人评价,祖玛珑,Jo Malone,中性香,花果香美食调,油桃,桃子,绿叶,李子,洋槐
115,"浪凡 琶音
Lanvin Arpege, 1927",8.6 分 485 人评价,浪凡,Andre Fraysse,女香,醛香花香调,醛,依兰,茉莉,檀香木,琥珀
116,"博柏利 风格男士
Burberry Brit for Men, 2004",8.5 分 623 人评价,博柏利,Antoine Maisondieu,男香,木质东方调,玫瑰,生姜,小豆蔻,橘子,零陵香豆
117,"圣罗兰 黑鸦片
YSL Yves Saint Laurent Black Opium, 2014",8.2 分 2146 人评价,圣罗兰,Marie Salamagne,Nathalie Lorson,Honorine Blanc,香草,咖啡,梨,茉莉,广藿香
118,"圣罗兰 鸦片（红鸦）
YSL Yves Saint Laurent Opium, 2009",8.6 分 491 人评价,圣罗兰,None,女香,辛辣东方调,没药,康乃馨,红没药,琥珀,广藿香
119,"马克·雅可布 小雏菊
Marc Jacobs Daisy, 2007",8.2 分 1355 人评价,马克·雅可布,Alberto Morillas,女香,木质花香调,紫罗兰叶,葡萄柚,紫罗兰,草莓,栀子花
120,"古驰 经典同名男士二代
Gucci Pour Homme II, 2007",9.1 分 271 人评价,古驰,Karine Dubreuil,男香,辛辣木质调,茶叶,肉桂,紫罗兰叶,烟草,甜椒
121,"宝格丽 水漾夜茉莉
Bvlgari Mon Jasmin Noir L'Eau Exquise, 2012",8.4 分 648 人评价,宝格丽,Sophie Labbe,女香,花香调,葡萄柚,茶叶,柚子,茉莉,麝香
122,"迪奥小姐
Dior Miss Dior (2012), 2012",8.5 分 527 人评价,迪奥,Francois Demachy,女香,花香甘苔调,广藿香,橘子,茉莉,玫瑰,麝香
123,"圣罗兰 鸦片
YSL Yves Saint Laurent Opium, 1977",9 分 298 人评价,圣罗兰,Raymond Chaillan,Jean-Louis Sieuzac,女香,焚香,公丁香,康乃馨,肉桂,檀香木
124,"祖玛珑 浓古龙-丝绒玫瑰与乌木
Jo Malone Velvet Rose & Oud, 2012",8.7 分 392 人评价,祖玛珑,Fabrice Pellegrin,中性香,东方花香调,玫瑰,沉香(乌木),果仁糖,公丁香,荔枝
125,"香奈儿 可可小姐淡香水
Chanel Coco Mademoiselle Eau de toilette, 2002",8.7 分 422 人评价,香奈儿,Jacques Polge,女香,木质东方调,广藿香,香柠檬,橙子,玫瑰,荔枝
126,"凯文克莱 唯一
Calvin Klein CK One, 1994",8.1 分 2101 人评价,凯文克莱,Alberto Morillas,中性香,柑橘馥奇香调,柠檬,绿叶,香柠檬,麝香,雪松
127,"高田贤三 一枝花（罂粟花/花样年华）
Kenzo Flower by Kenzo, 2000",8.3 分 820 人评价,高田贤三,Alberto Morillas,女香,东方花香调,紫罗兰,玫瑰,香草,麝香,焚香
128,"祖玛珑 牡丹与胭红麂绒
Jo Malone Peony & Blush Suede, 2013",8.3 分 739 人评价,祖玛珑,Christine Nagel,女香,花香调,牡丹,红苹果,绒面革,玫瑰,茉莉
129,"宝格丽 碧玺（晶欣）
Bvlgari Omnia Paraiba, 2015",8.6 分 404 人评价,宝格丽,Alberto Morillas,女香,花香果香调,百香果,西番莲,苦橙,栀子花,可可果
130,"古驰 绽放
Gucci Bloom, 2017",8.2 分 1043 人评价,古驰,Alberto Morillas,女香,花香调,晚香玉,茉莉,忍冬,鸢尾根,栀子花
131,"爱马仕 橘采星光淡香精（橘彩）
Hermes Elixir des Merveilles, 2006",8.5 分 463 人评价,爱马仕,Jean-Claude Ellena,女香,东方馥奇香调,树脂,橙子,焦糖,琥珀,秘鲁香脂
132,"爱马仕 凯莉驿马车
Hermes Kelly Caleche, 2007",8.5 分 442 人评价,爱马仕,Jean-Claude Ellena,女香,木质花香调,皮革,玫瑰,葡萄柚,鸢尾花,水仙花
133,"博柏利 裸纱（玲珑）
Burberry Body, 2011",8.4 分 610 人评价,博柏利,Michel Almairac,女香,果香甘苔调,玫瑰,桃子,麝香,苦艾,开司米木
134,"让·巴杜 喜悦
Jean Patou Joy, 1930",9.1 分 227 人评价,让·巴杜,Henri Almeras,女香,花香调,茉莉,玫瑰,晚香玉,依兰,麝香
135,"香奈儿 可可小姐黑色
Chanel Coco Noir, 2012",8.4 分 512 人评价,香奈儿,Jacques Polge,女香,木质花香调,广藿香,玫瑰,檀香木,乳香,葡萄柚
136,"爱马仕 法布街24号
Hermes 24 Faubourg, 1995",8.7 分 351 人评价,爱马仕,Maurice Roucel,女香,花香甘苔调,橙花,栀子花,琥珀,风信子,茉莉
137,"宝格丽 蓝茶男士
Bvlgari BLV Pour Homme, 2001",8.2 分 689 人评价,宝格丽,Alberto Morillas,男香,辛辣木质调,生姜,小豆蔻,烟草花,檀香木,南姜
